"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 06 16:58:58 IST 2022","Tue Dec 06 16:59:22 IST 2022","23996","","Checking test-cases page","","Checking test-cases page","TC 7 : Verify test-cases page","TC 7 : Verify test-cases page",""
"passed","Tue Dec 06 17:00:25 IST 2022","Tue Dec 06 17:00:50 IST 2022","24118","","Verify subscription feature","","Verify subscription feature","TC 11 : Verify Subscription in cart page","TC 11 : Verify Subscription in cart page",""
"passed","Wed Dec 07 20:41:00 IST 2022","Wed Dec 07 20:41:54 IST 2022","53504","","Verify login before checkout feature","","Verify login before checkout feature","TC 16 : Place Order: Login before Checkout","TC 16 : Place Order: Login before Checkout",""
"passed","Tue Dec 06 16:56:32 IST 2022","Tue Dec 06 16:57:19 IST 2022","47100","","Verify removing product from cart feature","","Verify removing product from cart feature","TC 17 : Remove Products From Cart","TC 17 : Remove Products From Cart",""
"passed","Wed Dec 07 20:44:31 IST 2022","Wed Dec 07 20:45:30 IST 2022","59871","","Verify address details in checkout page","","Verify address details in checkout page","TC 23: Verify address details in checkout page","TC 23: Verify address details in checkout page",""
"passed","Tue Dec 06 16:54:30 IST 2022","Tue Dec 06 16:55:05 IST 2022","34854","","Verify cart feature","","Verify cart feature","TC 12 : Add Products in Cart","TC 12 : Add Products in Cart",""
"passed","Tue Dec 06 16:57:25 IST 2022","Tue Dec 06 16:58:13 IST 2022","48078","","Search product","","Search product","TC 9 : Verify search product functionality","TC 9 : Verify search product functionality",""
"passed","Wed Dec 07 12:56:14 IST 2022","Wed Dec 07 12:57:39 IST 2022","84192","","Verify if cart is working fine after login","","Verify if cart is working fine after login","TC 20: Search Products and Verify Cart After Login","TC 20: Search Products and Verify Cart After Login",""
"passed","Tue Dec 06 16:54:30 IST 2022","Tue Dec 06 16:55:01 IST 2022","31417","","Adding recommended items to cart","","Adding recommended items to cart","TC 22: Add to cart from Recommended items","TC 22: Add to cart from Recommended items",""
"passed","Tue Dec 06 16:57:52 IST 2022","Tue Dec 06 16:58:25 IST 2022","33142","","Signin Form","","Signin Form","TC 2 : Valid user login","TC 2 : Valid user login",""
"passed","Tue Dec 06 16:55:55 IST 2022","Tue Dec 06 16:56:21 IST 2022","26150","","Logout feature","","Logout feature","TC 4 : User logout","TC 4 : User logout",""
"passed","Tue Dec 06 16:58:25 IST 2022","Tue Dec 06 16:58:41 IST 2022","16048","","Signin Form","","Signin Form","TC 3 : Invalid user login","TC 3 : Invalid user login",""
"passed","Wed Dec 07 16:05:46 IST 2022","Wed Dec 07 16:06:03 IST 2022","17457","","Checking Contact Us form","","Checking Contact Us form","TC 6 : Contact Us form","TC 6 : Contact Us form",""
"passed","Tue Dec 06 16:55:15 IST 2022","Tue Dec 06 16:55:55 IST 2022","40373","","Signup form","","Signup form","TC 5 : Existing user signup","TC 5 : Existing user signup",""
"passed","Tue Dec 06 17:00:04 IST 2022","Tue Dec 06 17:00:23 IST 2022","18742","","Verify quantity feature","","Verify quantity feature","TC 13 : Add quantity in Cart","TC 13 : Add quantity in Cart",""
"failed","Wed Dec 07 21:00:31 IST 2022","Wed Dec 07 21:01:23 IST 2022","52806","","Verify invoice download feature","","Verify invoice download feature","TC 24: Download Invoice after purchase order","TC 24: Download Invoice after purchase order",""
"passed","Wed Dec 07 20:14:43 IST 2022","Wed Dec 07 20:15:42 IST 2022","59175","","Verify checkout and register feature","","Verify checkout and register feature","TC 14 : Place Order: Register while Checkout","TC 14 : Place Order: Register while Checkout",""
"passed","Tue Dec 06 17:00:15 IST 2022","Tue Dec 06 17:00:25 IST 2022","10531","","Verify subscription feature","","Verify subscription feature","TC 10 : Verify Subscription in home page","TC 10 : Verify Subscription in home page",""
"passed","Wed Dec 07 20:34:43 IST 2022","Wed Dec 07 20:35:46 IST 2022","62658","","Verify registration before checkout feature","","Verify registration before checkout feature","TC 15 : Place Order: Register before Checkout","TC 15 : Place Order: Register before Checkout",""
"passed","Tue Dec 06 17:00:22 IST 2022","Tue Dec 06 17:00:55 IST 2022","33686","","Verify if brands are existing","","Verify if brands are existing","TC 19 : View & Cart Brand Products","TC 19 : View & Cart Brand Products",""
"passed","Tue Dec 06 17:04:28 IST 2022","Tue Dec 06 17:05:00 IST 2022","31863","","End to end","","End to end","TC 1 : Register User","TC 1 : Register User",""
"passed","Tue Dec 06 16:59:38 IST 2022","Tue Dec 06 17:00:10 IST 2022","31857","","PDP","","PDP","TC 8 : Verify PDP","TC 8 : Verify PDP",""
"passed","Wed Dec 07 16:08:46 IST 2022","Wed Dec 07 16:08:59 IST 2022","13633","","Adding review on product","","Adding review on product","TC 21: Add review on product","TC 21: Add review on product",""
"passed","Tue Dec 06 17:00:22 IST 2022","Tue Dec 06 17:00:46 IST 2022","23221","","Verify if categories are existing","","Verify if categories are existing","TC 18 : View Category Products","TC 18 : View Category Products",""
